ribo_cond1_S1	ribo_cond1_S2	ribo_cond1_S3	ribo_cond1_S4	ribo_cond2_S1	ribo_cond2_S2	ribo_cond2_S3	ribo_cond2_S4
189	202	85	35	541	236	208	213
86	45	69	45	89	33	38	51
117	86	171	157	101	301	195	80
3	7	2	11	19	16	13	15
817	425	1348	560	858	1135	2471	686
418	533	147	187	157	571	354	202
59	189	532	415	1113	446	622	435
913	907	625	683	1096	617	2172	1141
194	246	33	97	218	180	174	252
836	3017	5385	17896	1162	4918	12842	20496
25842	18430	22374	8485	11077	13644	16418	13545
54	44	64	87	71	71	92	83
4	1	3	4	6	2	5	3
19	38	21	50	67	33	56	59
388	373	761	341	124	242	356	1055
27	24	64	48	16	33	51	20
388	4062	4447	14712	1142	3066	9508	22048
9	4	3	2	0	4	10	2
39	57	33	35	17	22	29	37
59	92	127	113	260	73	286	225
513	565	364	419	653	331	1190	858
93	284	232	382	58	105	82	178
368	197	368	463	267	383	308	289
15493	5762	4822	8737	8267	10624	3373	8255
2030	2416	3138	980	2825	2862	5119	3144
992	502	1099	1072	2292	1012	702	3302
203	174	273	161	151	67	240	285
350	411	379	306	480	437	73	357
73	192	140	120	125	171	91	173
3	8	2	2	4	0	22	22
212	131	62	156	226	152	97	167
2059	4270	2412	24966	1987	9114	6814	5977
28	43	24	29	36	13	29	9
168	170	93	104	129	361	78	85
58	31	102	86	31	28	47	47
955	2716	4292	17962	1300	1234	13888	6863
21	39	82	46	32	45	97	48
206	265	134	221	258	340	168	188
43	22	20	71	22	34	59	20
9017	4037	1497	4596	5412	10369	10180	841
101	54	87	256	37	65	24	16
225	196	155	405	161	299	283	178
118	252	160	205	379	355	197	265
767	2552	1798	1324	1678	871	1545	1876
14	3	5	7	7	7	5	3
31	132	25	59	80	39	140	29
7545	5959	3746	6500	3391	1989	5820	9851
125	31	87	48	69	67	45	40
409	212	688	508	462	749	207	368
94	152	57	116	214	137	144	94
61	59	75	38	57	100	46	39
890	630	708	1035	1137	284	437	447
329	360	230	417	659	605	1006	552
9978	4376	3196	3343	7532	14652	3860	5371
463	272	185	483	176	457	614	385
4685	6589	2991	5449	1728	3737	2575	4858
177	152	112	47	63	85	82	167
24	20	13	24	32	44	15	21
533	351	247	601	507	394	387	385
216	395	255	222	256	264	404	288
18	17	5	24	28	19	52	19
48	80	20	39	82	74	87	55
1102	1151	8142	12040	1326	1942	11371	32344
122	46	99	165	208	100	74	113
39	155	11	34	57	93	63	80
710	703	1050	600	436	839	811	480
6942	2355	3286	4785	5436	3481	2480	3036
15	14	6	7	9	8	12	23
1340	501	1023	1021	273	457	339	924
281	249	678	127	388	880	535	656
0	0	4	2	0	9	0	6
10	8	9	6	0	8	8	4
514	281	757	471	776	1020	644	1115
215	748	411	230	258	287	294	716
433	844	526	1479	497	863	502	1105
146	284	132	217	40	92	431	289
395	635	772	845	1134	871	125	463
126	559	652	121	969	1049	874	1242
6974	5294	3291	5389	7519	6501	12013	14287
6401	18786	18370	13636	7770	19025	13822	10452
37	50	85	56	67	198	123	103
91	177	90	202	192	23	97	78
480	422	1107	659	526	559	747	197
213	261	216	494	599	171	160	461
376	1692	748	958	736	259	778	547
269	135	172	221	80	140	95	112
135	114	850	1801	25	48	158	877
1326	1453	1591	944	2832	5099	2468	2118
453	212	652	298	348	721	964	483
29	190	251	311	548	212	415	85
14	4	5	21	14	4	25	1
2453	2147	1854	2738	2749	1126	1819	2686
6	5	8	10	9	8	3	11
161	65	68	118	44	139	320	203
183	176	79	85	16	112	160	120
10824	10324	7841	6022	4266	3143	3044	5056
36	40	111	61	50	7	53	44
378	480	533	1315	643	368	487	212
362	762	718	470	1665	1188	3244	1843
16	7	22	25	5	3	14	3
3178	1890	3141	3073	5494	7004	7132	8370
1111	3364	8701	46166	682	5782	20689	31602
6268	4575	3215	4171	11780	7873	14356	11501
83	259	76	116	195	51	121	94
686	229	458	514	216	509	721	1032
518	1256	2200	587	732	2265	1128	488
153	35	32	70	55	44	32	58
961	678	595	954	369	556	341	977
99	146	134	107	293	184	94	134
333	285	339	335	536	765	946	578
14	14	8	16	7	23	9	19
180	168	265	293	137	51	84	56
101	109	151	340	245	141	129	148
252	197	233	217	119	141	89	116
3348	1428	1462	6090	1838	1294	2820	1833
4897	10246	3031	9390	3127	10579	9862	6475
67	105	36	78	56	45	146	34
4	1	12	9	16	4	5	12
411	341	312	297	40	111	153	128
144	178	1088	2348	622	504	2422	11596
301	320	224	259	247	189	60	99
2	2	1	0	5	10	1	3
2505	1222	1473	534	1157	2592	1779	1397
29	189	487	921	52	43	475	829
221	478	279	628	455	643	269	632
161	48	85	61	85	205	48	84
51	100	58	79	177	155	31	49
83	86	47	47	89	68	48	43
8	9	7	10	26	37	17	15
49	43	28	21	30	38	39	38
330	123	564	708	254	468	323	221
921	817	1365	1280	426	1646	2452	2255
2672	2452	970	974	3054	1926	815	436
225	936	217	266	704	703	998	660
435	532	108	70	240	63	286	112
18	7	16	3	4	7	11	4
37	37	50	86	19	38	57	39
441	970	442	842	602	688	371	618
146	296	109	227	380	82	492	120
249	156	80	72	39	138	112	97
1377	542	419	564	486	1117	234	870
41	50	19	12	43	18	11	25
115	369	192	187	223	196	170	146
