rna_cond1_S1	rna_cond1_S2	rna_cond1_S3	rna_cond1_S4	rna_cond2_S1	rna_cond2_S2	rna_cond2_S3	rna_cond2_S4
9158	10144	4154	1854	26708	11236	9879	9849
407	202	362	118	106	27	52	46
319	308	234	448	518	254	767	543
188	226	217	285	651	800	1046	261
1019	516	305	574	1039	604	443	535
2278	2240	3587	1843	3172	1074	4358	2777
834	285	890	2526	4486	5055	2063	2798
17	37	36	27	51	36	24	76
1609	2184	3045	452	1076	2348	2079	1987
33	51	206	366	9	29	55	43
275	267	148	266	410	1108	926	476
121	168	147	286	124	196	58	173
41	44	21	31	16	15	39	17
2030	1372	2358	3039	1756	2613	2618	2355
184	384	166	43	112	176	536	143
513	1050	732	304	598	890	253	459
125	586	2167	3992	1623	2521	6571	21716
2140	6774	2632	1930	3338	2205	3685	1431
932	939	466	519	780	976	266	219
8	5	28	4	53	20	65	42
310	260	132	502	631	177	531	440
694	176	330	223	266	189	128	139
969	767	1187	1070	499	825	1415	92
7	12	15	17	5	26	10	9
2022	609	1657	1681	3299	2010	939	471
1049	1022	1777	779	662	3182	1402	1189
82	51	58	22	74	97	63	64
547	447	750	663	99	515	355	945
41	31	34	47	22	48	40	49
20	39	13	55	76	46	90	57
277	138	331	451	324	208	368	604
87	45	488	2080	25	88	83	148
670	941	884	770	166	655	403	1009
10371	21668	13088	18623	10083	11085	12794	8938
87	73	33	30	40	40	55	62
661	2837	9044	8358	9877	4771	6729	48591
1308	1237	625	862	1291	775	951	1567
52502	70136	90695	45784	49828	39933	70431	28901
63	19	30	52	18	54	24	7
42	56	82	97	8	52	73	82
2265	2716	2060	5250	631	331	611	507
408	1041	543	1056	748	485	574	1136
1194	1514	1506	1423	1426	1860	946	3205
123	34	72	28	47	87	160	11
81	42	11	31	62	14	33	33
5	18	7	4	9	21	3	7
366	372	241	443	215	116	350	644
990	248	748	364	537	504	367	309
223	191	74	100	118	51	124	141
322	146	330	674	354	316	329	355
111	142	7	74	256	151	123	134
52	47	72	41	42	52	40	38
1055	397	726	1142	1051	1741	954	939
10	17	13	5	19	31	5	13
45	172	64	113	23	54	109	144
229	195	211	90	54	134	80	163
292	255	189	81	107	139	137	281
310	275	221	281	349	574	189	261
0	15	20	9	9	12	10	26
327	290	777	1345	658	943	2029	1929
196	210	181	366	385	812	300	322
120	28	56	120	110	130	84	110
60	390	505	2396	382	2233	6431	16252
149	350	566	722	363	257	432	232
14	4	23	13	20	14	61	44
519	772	434	313	612	594	346	877
35	54	68	124	58	46	39	45
155	33	151	58	178	271	245	352
465	475	170	290	147	424	169	146
155	27	80	177	116	146	149	117
1551	1008	1149	1007	1259	752	1041	1843
2181	1403	574	654	878	1942	1268	2015
188	126	131	85	78	257	170	239
304	200	195	364	291	255	431	115
268	100	198	90	153	46	109	517
2106	758	1241	1505	992	1493	1146	155
593	265	1164	1373	220	575	618	513
20	28	15	10	55	53	38	90
106	51	58	34	31	83	59	51
229	319	428	323	184	531	348	290
90	177	89	201	335	43	164	129
207	182	476	286	986	1061	1437	353
19	24	14	46	78	18	15	61
15	21	59	6	12	14	21	36
220	275	343	167	195	133	152	255
10	28	9	8	20	7	10	20
835	2465	6149	17250	72	156	324	1047
108	60	40	39	60	188	40	96
8	74	29	18	23	56	43	26
17	62	27	8	49	3	30	23
272	399	387	155	195	295	160	123
1977	1155	1929	2564	1448	1333	1346	367
8	32	20	21	5	15	4	12
144	910	1201	945	2526	2446	3842	396
12	10	19	6	27	19	10	5
131	665	330	331	42	220	224	131
23	30	87	47	30	42	9	17
334	334	206	386	240	675	358	400
255	517	251	267	516	418	738	791
21	20	46	62	94	102	78	57
0	10	6	0	2	33	4	9
2589	12844	36767	79023	653	2389	6327	11456
32	30	29	23	161	68	24	21
5	3	9	8	6	0	0	4
86	92	117	41	162	339	79	118
38	151	121	52	198	45	41	91
85	67	47	90	131	94	85	123
153	221	129	418	114	170	155	122
114	65	35	53	21	21	25	24
331	487	600	360	533	754	466	594
34	83	42	66	46	48	80	89
1313	528	830	523	164	184	244	566
331	186	175	197	104	81	95	89
17949	15029	20129	8809	6554	5652	9268	6906
860	611	1349	879	449	959	278	855
170	550	578	354	394	657	247	486
226	197	514	132	200	318	421	460
523	629	745	193	1096	1037	415	1025
5413	4311	2320	3296	1751	1877	622	1275
43	337	769	2298	31	198	588	2045
32	13	8	11	29	10	35	38
201	438	541	289	218	579	359	229
215	212	413	394	273	508	230	359
412	577	3459	6127	1881	2043	13329	40459
9	23	23	37	30	46	6	15
6	16	18	22	22	78	6	21
144	320	214	100	105	332	109	105
65	25	34	85	133	150	100	73
68	63	40	30	43	53	55	55
12829	4328	22287	27959	9494	20307	12793	8029
104	80	149	133	35	156	239	216
669	601	237	233	806	478	214	107
246	1049	236	290	638	639	913	599
119	137	23	17	77	19	90	36
1308	457	889	131	669	827	389	565
436	402	552	236	415	296	618	748
174	128	67	150	115	85	185	200
591	488	477	501	494	488	526	700
367	302	393	417	455	442	109	204
1	4	4	1	6	6	6	6
5	4	9	2	6	7	16	12
14	19	13	98	31	16	10	53
951	808	745	623	397	1122	957	583
949	1353	914	3210	297	2811	1455	1276
436	341	594	371	842	1060	194	1014
858	445	805	1003	2053	1459	1169	1070
131	205	174	529	236	547	172	251
430	812	773	414	315	640	302	433
1491	2737	2380	2850	652	1682	624	1181
216	68	149	206	273	273	241	257
68	41	14	17	16	15	18	18
28	34	286	130	205	166	181	219
757	2120	1985	2060	1333	456	1224	1253
1662	1672	3027	8019	3636	10387	8233	3628
1196	150	281	378	427	1088	522	308
2156	4031	10504	17288	10288	25630	30203	63088
1609	3361	4436	1585	3203	2547	995	1392
22	39	53	17	113	268	76	62
144	112	191	101	67	161	200	135
117	190	115	274	288	728	795	404
27	102	40	37	92	33	20	96
880	3557	1792	1594	1065	1773	1693	1212
2727	563	1630	1864	873	530	1032	660
232	356	159	285	92	73	84	48
63	91	101	71	47	195	35	62
7	19	18	3	13	20	5	12
46	402	1107	1934	22	59	151	291
1911	853	2052	2124	796	569	1987	1488
543	418	508	769	654	301	260	101
223	201	253	81	258	421	117	191
169	271	141	255	423	170	984	932
560	898	924	582	1376	532	791	1581
142	221	210	132	189	142	158	51
304	498	1032	10638	142	641	297	587
135	161	71	163	179	104	58	46
536	858	1042	246	793	711	508	1002
389	44	409	181	110	151	278	53
270	189	163	154	90	71	162	68
528	157	379	186	115	458	246	327
5149	3137	2726	1075	3326	2332	2209	3467
87	143	199	270	122	83	89	37
1093	1048	1192	836	937	700	555	764
88	258	708	272	396	562	165	299
320	165	210	164	155	303	276	211
71	141	174	116	210	160	106	112
781	1254	1354	1019	168	1045	526	878
0	4	13	9	5	0	3	6
1582	2123	1373	1772	1761	727	1908	471
50	17	43	47	97	52	19	39
350	823	698	1165	1006	490	339	392
170	247	293	273	229	215	31	308
1666	3078	2272	1153	2341	1287	3586	1829
14720	28356	18081	24761	23244	18885	65133	29527
260	1014	822	650	1039	830	316	531
14	11	9	11	4	16	11	16
12897	4929	10066	16779	13678	4682	10592	6824
669	322	540	269	257	330	271	408
1823	642	5302	939	2122	1722	2276	2300
1114	581	1969	751	417	1355	1002	578
442	290	516	338	473	413	278	1053
10	3	11	7	1	3	8	3
432	55	371	142	489	476	292	250
777	716	448	528	991	1297	1075	711
316	1065	969	703	724	296	793	695
4	5	6	7	13	4	3	7
522	231	124	527	163	319	138	122
1200	1595	1336	1205	856	2682	1546	1293
11	3	1	4	2	8	6	6
733	3629	2175	2809	6109	1947	10098	10542
1650	12652	17054	44315	11566	117952	117179	574923
18	19	25	35	37	48	23	33
72	122	375	999	31	65	219	567
3	5	2	4	6	1	1	5
30222	47273	158189	1887221	181009	374850	1895886	4073933
13	166	709	1496	6	19	183	208
738	1404	648	2140	1094	1146	1207	1570
133	390	618	773	8953	7708	71088	118318
83	95	73	44	76	186	68	24
73	133	261	60	58	120	125	79
575	1735	2616	1333	1818	1885	2146	964
430	207	192	242	444	233	551	116
201	184	189	168	627	558	821	1237
264	438	212	106	345	256	345	193
215	78	233	338	397	119	336	86
40	56	29	81	30	32	13	29
4304	8485	15190	27288	52517	73432	1032260	688752
132	136	186	84	56	38	29	24
14	12	24	27	4	0	3	1
1077	541	508	313	187	122	286	511
554	787	807	714	856	1068	852	713
724	772	2903	5205	52	324	888	3857
489852	1823734	5787412	14268151	5010414	6783237	54792831	87754945
8	11	17	17	13	5	8	13
7831	10386	25841	177763	1971	3131	7410	43477
1163	953	651	349	634	501	322	828
395	406	463	350	479	132	623	300
21	4	13	13	3	5	22	1
876	516	823	710	499	759	780	880
0	6	5	6	63	20	42	57
481	661	1228	796	511	369	409	611
63	231	270	268	194	273	187	251
494	1109	1162	886	1303	714	1143	1921
697	1915	1344	1221	1593	1465	1018	970
2142	2958	444	3343	1253	2050	1122	4203
1727	4041	11206	15948	252	960	4272	5791
2888	8770	4223	6298	14805	17263	7773	9334
617	718	392	599	2507	1460	1520	2842
5	2	3	5	3	20	8	14
949	385	301	649	118	35	434	124
36	16	32	18	61	34	88	27
5	19	5	14	11	4	10	10
15	25	26	37	6	23	9	14
346	161	287	746	409	354	340	277
744	2131	2678	15503	1889	11318	15497	98353
11052	49847	115545	234152	1276	13309	10839	60753
59	94	30	104	51	60	11	76
1588	1719	930	1451	1472	2362	1940	1590
11	9	11	5	4	6	19	25
844	691	226	1870	1080	1019	803	690
1675	1431	1631	2877	1344	6447	4811	1165
307	210	315	477	714	623	298	333
23	6	4	13	2	8	4	8
3970	2694	7545	2976	7740	7514	4377	4043
41	15	15	40	26	41	18	20
4479	13688	5144	3647	4448	4989	6153	5719
153	331	400	96	241	378	240	80
1024	665	828	1167	1490	862	207	1204
28	10	34	8	119	69	194	116
25	92	87	46	17	53	18	42
24	23	16	17	46	37	6	26
551	739	944	994	308	532	677	963
160	194	51	164	101	55	91	163
25	21	16	24	25	6	14	9
2649	1329	2287	1479	493	1063	1576	398
785	969	504	323	567	1494	1335	577
132	220	104	190	105	97	166	127
14848	12409	10231	7692	10301	4963	13410	10527
8	7	2	5	0	1	1	1
15878	54137	36797	28293	30766	22301	49716	40167
39	74	31	41	8	44	54	63
2412	1204	2428	1122	461	897	2359	1177
15	13	18	5	15	25	19	36
9403	2041	7417	4940	6098	4363	3538	10515
177	235	128	266	183	92	341	281
318	176	360	130	198	189	115	213
143	222	204	208	184	234	266	91
283	441	248	154	590	338	203	558
2268	1305	1381	1384	264	525	1401	762
421	301	303	446	263	124	332	299
3859	5362	11188	4778	3184	6974	5677	5755
23	44	15	8	51	23	31	30
33757	187559	521392	982996	20587	32953	130485	444608
