baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC102725121	0	NA	NA	NA	NA	NA
LOC105378947	0.113688117097568	0.783405180069264	3.52601378245859	0.222178706154409	0.824174769898064	NA
LOC107984841	0.759767994550438	0.326965334214611	2.42277182094057	0.134955067327668	0.89264740031547	NA
LOC107985728	1.19485487832087	3.19963567678217	2.21863403021544	1.44216469828126	0.149255916800265	NA
LOC107985729	0.128143418820153	0.803008579444011	3.52880108420455	0.227558471073476	0.819989508179706	NA
LOC105378949	7.6473009507431	-0.827188289751087	0.671281377005042	-1.23225270071044	0.217854702457744	0.423189976932761
LOC100506504	21.2788471240609	0.420919447558272	0.461824999782653	0.911426292981904	0.362070805165029	0.581261125627628
LOC105378592	2.25040191657813	-0.150852708063069	1.16351394371666	-0.129652686053074	0.896841217556537	0.951384340800878
LOC107985734	7.52642615637178	0.327575800868298	0.680494890171713	0.481378781236166	0.630247314535818	0.795949947220699
C1orf195	0.124140909078817	-0.570004411849155	3.52991569721136	-0.16147819402584	0.871716784612192	NA
ANO7P1	0.142238361297086	0.799838592678129	3.5283649840155	0.226688167551154	0.820666228548775	NA
MST1L	0.833788427692188	-0.437513846861135	2.2726499441738	-0.192512642777543	0.847340665626607	NA
LOC107985103	0.915415657836748	2.39242202555318	2.05897724561935	1.16194680181302	0.245257074623637	NA
LOC105378950	0	NA	NA	NA	NA	NA
TMEM269	1.4124431060839	-1.70345343237935	1.81224992328803	-0.939966066760104	0.347234966758768	NA
LOC107983962	0.902113325321615	0.178502529929008	2.29630894432405	0.0777345445482087	0.938039214658991	NA
LOC101927844	0	NA	NA	NA	NA	NA
LOC105378862	9.75959122094543	0.0813846337730483	0.573669651326539	0.141866723444157	0.88718527926202	0.947449135962468
LOC101928436	3.11691090476091	-0.688047568291599	1.01939763174484	-0.674955039000742	0.49970433064512	0.698142428925452
LOC107985184	1.64931317024071	0.0617232770263059	1.43347629777763	0.0430584566497524	0.96565493535559	0.984415280635382
LINC01750	18.4581743478616	-0.983584687152098	0.493739905970664	-1.99211097838735	0.0463588826783926	0.143704995207827
C1orf137	0	NA	NA	NA	NA	NA
NBPF7	1.61078360952331	0.999929553875521	1.47434994996427	0.678217240011268	0.497633963142531	0.696549954258885
LOC100996720	0.614315487364991	-0.406485624260857	3.29838510900861	-0.123237769643895	0.901918817661966	NA
LOC105369199	1.25754493808725	0.411972124496562	1.60771744707556	0.256246596841964	0.797760430320401	NA
LOC100996721	0	NA	NA	NA	NA	NA
LOC100996318	0.261433491845048	0.11693856103235	3.53177791482047	0.0331103947792524	0.973586553460873	NA
LOC107985199	0	NA	NA	NA	NA	NA
LOC107983967	0	NA	NA	NA	NA	NA
LOC107985108	0	NA	NA	NA	NA	NA
LOC105369140	0.279773326470228	1.4143689977215	3.51330529205868	0.402575034090685	0.687260878977087	NA
LOC388692	0.71243247502434	0.1260601165541	3.07874460379237	0.0409452984176798	0.967339504791712	NA
LOC100996713	0.119195130547962	-0.550710729230469	3.52726908797384	-0.156129491540101	0.875930952523344	NA
LOC107985109	0	NA	NA	NA	NA	NA
LOC107985527	0	NA	NA	NA	NA	NA
LOC105371215	0	NA	NA	NA	NA	NA
LOC107985111	0	NA	NA	NA	NA	NA
LOC107985528	0	NA	NA	NA	NA	NA
LOC100996741	0	NA	NA	NA	NA	NA
LOC105371303	1.64127855427393	0.440538488985346	1.56687256062004	0.281157829971198	0.77858934733721	0.888846931763765
LOC101060254	1.11290761837219	-0.153613111245675	1.71035480954768	-0.0898135932896287	0.928435345965037	NA
LOC100996517	0	NA	NA	NA	NA	NA
LOC100996716	0	NA	NA	NA	NA	NA
LOC653513	28.7788656952526	-0.21697602518756	0.397398210832839	-0.54599144956601	0.585071814729615	0.761639441152895
LOC107983947	40.5349903902661	-1.18138720168948	0.356341161788214	-3.3153262333236	0.000915362305452337	0.0063807491296849
LOC100131107	0	NA	NA	NA	NA	NA
LOC105371448	0	NA	NA	NA	NA	NA
LOC101928120	4.89468981986293	0.150812361883259	0.85292728602366	0.176817372775522	0.859651842563776	0.933392618134302
POP3	0.119195130547962	-0.550710729230469	3.52726908797384	-0.156129491540101	0.875930952523344	NA
