baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC102725121	0	NA	NA	NA	NA	NA
LOC105378947	0	NA	NA	NA	NA	NA
LOC107984841	0	NA	NA	NA	NA	NA
LOC107985728	0.21453794103184	-0.012967763318066	0.104765301205029	-0.115950636262436	0.907691664368844	NA
LOC107985729	0	NA	NA	NA	NA	NA
LOC105378949	0.674285778159514	0.0466951427652108	0.135085032373633	0.130880219262238	0.895870062808937	NA
LOC100506504	0	NA	NA	NA	NA	NA
LOC105378592	0.314050647037037	-0.0557380184349506	0.104765301205029	-0.404182735380613	0.686078348418522	NA
LOC107985734	0	NA	NA	NA	NA	NA
C1orf195	0	NA	NA	NA	NA	NA
ANO7P1	0	NA	NA	NA	NA	NA
MST1L	0	NA	NA	NA	NA	NA
LOC107985103	0.367364937813407	-0.0131323196343139	0.10478439318247	-0.12753390183791	0.898517842459794	NA
LOC105378950	0	NA	NA	NA	NA	NA
TMEM269	0	NA	NA	NA	NA	NA
LOC107983962	0.405970729874899	-0.0837206496979399	0.105635494052585	-0.477996556193616	0.632652656158093	NA
LOC101927844	0	NA	NA	NA	NA	NA
LOC105378862	0.626395070827292	-0.0430322132698891	0.130616716070174	-0.443586983498193	0.657341218244692	NA
LOC101928436	0.376023603680098	0.010656682913981	0.107369016767365	0.0753543988718163	0.939932740430907	NA
LOC107985184	0	NA	NA	NA	NA	NA
LINC01750	2.06794033040941	-0.281534053120734	0.233096237474372	-1.21494291831131	0.224387863152401	0.496573668159177
C1orf137	0	NA	NA	NA	NA	NA
NBPF7	0	NA	NA	NA	NA	NA
LOC100996720	0.157025323518518	-0.0343528908765083	0.104765301205029	-0.314825943631666	0.752893812470715	NA
LOC105369199	0.188351822461564	-0.0557380184349506	0.104765301205029	-0.396711204511255	0.691580436769194	NA
LOC100996721	0	NA	NA	NA	NA	NA
LOC100996318	0	NA	NA	NA	NA	NA
LOC107985199	0	NA	NA	NA	NA	NA
LOC107983967	0	NA	NA	NA	NA	NA
LOC107985108	0.0986362503605219	0.00841736424037629	0.104765301205029	0.0762738334309029	0.939201243083925	NA
LOC105369140	0	NA	NA	NA	NA	NA
LOC388692	0	NA	NA	NA	NA	NA
LOC100996713	0	NA	NA	NA	NA	NA
LOC107985109	0	NA	NA	NA	NA	NA
LOC107985527	0	NA	NA	NA	NA	NA
LOC105371215	0	NA	NA	NA	NA	NA
LOC107985111	0	NA	NA	NA	NA	NA
LOC107985528	0	NA	NA	NA	NA	NA
LOC100996741	0	NA	NA	NA	NA	NA
LOC105371303	0	NA	NA	NA	NA	NA
LOC101060254	0.277387353319576	-0.012967763318066	0.104765301205029	-0.12484025077049	0.900650021132958	NA
LOC100996517	0	NA	NA	NA	NA	NA
LOC100996716	0	NA	NA	NA	NA	NA
LOC653513	5.57798622784576	-0.0471038488640273	0.292717536337929	0.27091353383201	0.78645753565936	0.916206383634719
LOC107983947	0.392551467729006	0.0618473836064135	0.105572683269578	0.390881315941478	0.695884965193407	NA
LOC100131107	0	NA	NA	NA	NA	NA
LOC105371448	0	NA	NA	NA	NA	NA
LOC101928120	0.932135683018151	0.0954593246747999	0.155357196088558	0.330636985705364	0.740918705473502	NA
POP3	0	NA	NA	NA	NA	NA
LOC105371598	0	NA	NA	NA	NA	NA
LOC107985246	1.01051050012672	-0.120587698650632	0.180748439979525	-0.848120550478159	0.396370837841072	NA
LOC100505650	0	NA	NA	NA	NA	NA
LOC105372883	0.0986362503605219	0.00841736424037629	0.104765301205029	0.0762738334309029	0.939201243083925	NA
MIR205HG	0	NA	NA	NA	NA	NA
LOC107985330	0	NA	NA	NA	NA	NA
LOC105379282	0	NA	NA	NA	NA	NA
LOC105373289	0.0759137040634452	0.00841736424037629	0.104765301205029	0.050748764183908	0.959525718483863	NA
LOC107985355	0	NA	NA	NA	NA	NA
LOC101060022	0	NA	NA	NA	NA	NA
LOC100506571	0	NA	NA	NA	NA	NA
LOC101927401	0	NA	NA	NA	NA	NA
BTNL10	0	NA	NA	NA	NA	NA
LOC105373132	0.787804955529698	0.0663844441242905	0.145326612045019	0.257266467358533	0.796973076599535	NA
LOC107983951	0	NA	NA	NA	NA	NA
C1orf229	0.288661454976906	0.0298024917988186	0.104765301205029	0.0883982409451932	0.929560159346873	NA
LOC107985115	3.41400902567834	0.177889829128866	0.269924816826324	0.762499346420073	0.445762033077288	0.707792126516219
OR2W5	0	NA	NA	NA	NA	NA
LOC107987363	0	NA	NA	NA	NA	NA
LOC107987364	0	NA	NA	NA	NA	NA
LOC101927262	0	NA	NA	NA	NA	NA
LOC100996637	0	NA	NA	NA	NA	NA
LOC105373392	0	NA	NA	NA	NA	NA
LOC107985837	0	NA	NA	NA	NA	NA
LOC102723730	0	NA	NA	NA	NA	NA
LOC105373395	0	NA	NA	NA	NA	NA
LOC101926982	0	NA	NA	NA	NA	NA
C2orf48	0	NA	NA	NA	NA	NA
LOC107985856	0	NA	NA	NA	NA	NA
LOC107985792	0	NA	NA	NA	NA	NA
LOC105374378	0.157025323518518	-0.0343528908765083	0.104765301205029	-0.314825943631666	0.752893812470715	NA
LOC107985876	0	NA	NA	NA	NA	NA
LOC102724965	0	NA	NA	NA	NA	NA
LOC107985795	0.0759137040634452	0.00841736424037629	0.104765301205029	0.050748764183908	0.959525718483863	NA
LOC107984043	0	NA	NA	NA	NA	NA
