baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC102725121	0	NA	NA	NA	NA	NA
LOC105378947	0.0310001165797903	-1.28126165693672	6.12047839865827	-0.209340115834344	0.834182737556188	NA
LOC107984841	0.204457284534374	-1.07565647195318	6.07503175780334	-0.177061868124641	0.859459793454456	NA
LOC107985728	0.522743642994971	-4.14335073479482	3.95917073515824	-1.04651984265316	0.29532108854612	NA
LOC107985729	0.0344858513695341	-1.28126165693672	6.12047839865827	-0.209340115834344	0.834182737556188	NA
LOC105378949	2.68515821377951	1.54007549667355	1.52395407857056	1.01057867709381	0.312218125596069	NA
LOC100506504	5.74853211118487	-0.861119428292513	1.65383977455227	-0.520678872005987	0.602590495014584	NA
LOC105378592	0.895267821384517	-1.52844570588235	2.24808139886166	-0.679888951821893	0.496574777693076	NA
LOC107985734	2.03572516301311	-0.74265172351934	1.87983679631181	-0.395061808012485	0.692797273869466	NA
C1orf195	0.0336229038683352	0.161332046731543	6.12047839865827	0.0263593850387431	0.978970688927959	NA
ANO7P1	0.0387699338288991	-1.28126841232329	6.12047839865827	-0.209341219569399	0.83418187598981	NA
MST1L	0.224519811293271	0.152767568034645	5.98864835557239	0.025509523846478	0.979648552029383	NA
LOC107985103	0.581827384847969	-3.2377965179384	3.05221833415705	-1.06080108415069	0.288780309422273	NA
LOC105378950	0	NA	NA	NA	NA	NA
TMEM269	0.379613910847401	1.19421757910614	4.39603716005803	0.271657753477765	0.785885187835752	NA
LOC107983962	0.616063328465678	-1.53289756046525	3.83836536999884	-0.399362075441429	0.689626433832634	NA
LOC101927844	0	NA	NA	NA	NA	NA
LOC105378862	3.20935718493469	-0.962361645352496	1.47274190831053	-0.653448944395477	0.513466893923669	NA
LOC101928436	1.18920598862837	0.912939508498789	2.00065896511185	0.45631940496553	0.648160311868788	NA
LOC107985184	0.44629063698128	-0.410836215067682	3.17396991977246	-0.129439227671425	0.897010109554944	NA
LINC01750	6.88558090734892	-0.928288581282852	1.07317981170175	-0.86498885942595	0.387044903480975	NA
C1orf137	0	NA	NA	NA	NA	NA
NBPF7	0.433768857680463	-1.41883390732787	3.22740494654769	-0.439620664535937	0.660211871451419	NA
LOC100996720	0.308476372803779	-0.369733915163376	6.07227584753705	-0.0608888536105193	0.951447726505737	NA
LOC105369199	0.512820594713462	-1.90840247067716	2.91608390434565	-0.654440178430116	0.512828256075618	NA
LOC100996721	0	NA	NA	NA	NA	NA
LOC100996318	0.0705343479422699	-0.559980005244362	6.12047839865827	-0.0914928488869629	0.927100988166972	NA
LOC107985199	0	NA	NA	NA	NA	NA
LOC107983967	0	NA	NA	NA	NA	NA
LOC107985108	0.0916400342640744	0.161365825499281	6.12047839865827	0.0263649040138195	0.978966286952824	NA
LOC105369140	0.0756174963693238	-1.91953129308899	6.11460872269985	-0.313925449712412	0.753577660688749	NA
LOC388692	0.191332283503526	-0.269237807938688	6.07540240533289	-0.0443160452552665	0.964652481975178	NA
LOC100996713	0.0317644141133708	0.16133204673154	6.12047839865827	0.0263593850387427	0.97897068892796	NA
LOC107985109	0	NA	NA	NA	NA	NA
LOC107985527	0	NA	NA	NA	NA	NA
LOC105371215	0	NA	NA	NA	NA	NA
LOC107985111	0	NA	NA	NA	NA	NA
LOC107985528	0	NA	NA	NA	NA	NA
LOC100996741	0	NA	NA	NA	NA	NA
LOC105371303	0.441774601751651	-0.948235266950346	3.66077985977481	-0.259025481802305	0.795615579641447	NA
LOC101060254	0.554631790929313	-0.17502368338798	2.75208165484019	-0.0635968351738979	0.949291251808091	NA
LOC100996517	0	NA	NA	NA	NA	NA
LOC100996716	0	NA	NA	NA	NA	NA
LOC653513	12.8705894609856	0.147900499467898	0.709268278698945	0.208525467597679	0.834818699403984	NA
LOC107983947	11.2645608466862	2.82933814529494	1.39432012820296	2.02918833922413	0.0424391108176151	NA
LOC100131107	0	NA	NA	NA	NA	NA
LOC105371448	0	NA	NA	NA	NA	NA
LOC101928120	2.17808266906901	0.827663701392418	1.71430640068199	0.482797999857641	0.629239171128817	NA
POP3	0.0317644141133708	0.16133204673154	6.12047839865827	0.0263593850387427	0.97897068892796	NA
LOC105371598	0	NA	NA	NA	NA	NA
LOC107985246	1.83428671480696	-1.076306655389	1.62512937687913	-0.662289827937219	0.507785494639112	NA
LOC100505650	0.0336229038683352	0.161332046731543	6.12047839865827	0.0263593850387431	0.978970688927959	NA
LOC105372883	0.84756026847934	-1.07289723575133	2.32279510714766	-0.461899214635776	0.644153597240201	NA
MIR205HG	0.0930690042994829	-0.0827899915817424	6.09440854129773	-0.0135845818377173	0.989161405248354	NA
LOC107985330	0.0903475670433196	1.07205336641499	6.10310145688863	0.175657143173484	0.860563306478793	NA
LOC105379282	0.133986818125614	-1.70963117123506	6.09664045637443	-0.280421846009884	0.779153878443831	NA
LOC105373289	0.279229485618549	0.707081801313395	4.89467877676906	0.144459286004491	0.885137804230232	NA
LOC107985355	0.0945289448065319	-0.119766688430009	6.11399550976777	-0.019588939546761	0.984371287104884	NA
LOC101060022	0.284246623795203	-1.41241878598305	6.06027036782574	-0.233062008830769	0.815713255161996	NA
LOC100506571	0.4839325833875	-1.01207777284943	3.46149978730518	-0.29238128991403	0.76999511202892	NA
LOC101927401	0.357848579985115	1.14267371310649	3.76541795599579	0.30346530623167	0.761535283236154	NA
BTNL10	0	NA	NA	NA	NA	NA
LOC105373132	2.23842270471999	0.985686769334903	1.59271857897093	0.618870641900697	0.536001580296814	NA
LOC107983951	0	NA	NA	NA	NA	NA
C1orf229	0.581403235936478	1.69625051734001	3.49634422295356	0.485149747614691	0.627570125649432	NA
LOC107985115	7.23885978083796	0.72209982609883	0.790458339633325	0.913520409480144	0.360968904513682	NA
OR2W5	0	NA	NA	NA	NA	NA
LOC107987363	0	NA	NA	NA	NA	NA
LOC107987364	0	NA	NA	NA	NA	NA
LOC101927262	1.26376676106878	1.00466987596254	2.1204611137589	0.473797830784825	0.635644081614021	NA
LOC100996637	0	NA	NA	NA	NA	NA
LOC105373392	0	NA	NA	NA	NA	NA
LOC107985837	0	NA	NA	NA	NA	NA
LOC102723730	0	NA	NA	NA	NA	NA
LOC105373395	0	NA	NA	NA	NA	NA
LOC101926982	0.0317644141133708	0.16133204673154	6.12047839865827	0.0263593850387427	0.97897068892796	NA
C2orf48	0	NA	NA	NA	NA	NA
LOC107985856	0.279178746251284	-1.39791643645156	6.0690932210599	-0.230333657028163	0.817832509082635	NA
LOC107985792	0	NA	NA	NA	NA	NA
LOC105374378	0.46468607419541	1.06745617024355	3.99049424947659	0.267499739006907	0.789084415093821	NA
LOC107985876	0.0340977202349398	0.161325291344976	6.12047839865827	0.0263582813036872	0.978971569275239	NA
LOC102724965	1.05801096797827	-1.30143505308288	2.65204855733594	-0.490728214414828	0.623618688269127	NA
LOC107985795	0.166856713291632	2.04668392741885	6.09536342358034	0.335777177698891	0.737038901536595	NA
LOC107984043	0.394586442396182	1.37819745782119	3.62502211065711	0.380190083191343	0.703804320020614	NA
LOC107985770	27.8606488038261	0.441816363765768	0.69046246031474	0.639884699255584	0.522247561993422	NA
LOC107985896	0	NA	NA	NA	NA	NA
LOC105374811	2.01258539443374	1.43624307456243	2.15294309338915	0.667106845031145	0.504703888161199	NA
LOC102724642	2.39331441569894	-0.985649441885171	2.02740508750828	-0.486163050471848	0.626851566535802	NA
LOC730268	17.3204661899595	1.12224692784186	1.17285895925702	0.95684729948499	0.338644334386154	NA
LOC107985911	8.59131089164566	-0.707619200091788	0.933905637207375	-0.75769882084421	0.448631305080934	NA
LOC101060017	0.0658621343483106	0.783456525225814	6.11335103638331	0.128155003788121	0.89802630813745	NA
LOC101930047	0.0968622509281009	0.105700707000173	6.11661595810429	0.0172809127995234	0.986212512710195	NA
LOC107985799	0	NA	NA	NA	NA	NA
LOC107985914	0.397227260356625	1.2455770662174	3.63336163977728	0.34281670521896	0.731736357738488	NA
LOC107984110	4.33203714201294	-2.03248737169424	1.53158474733887	-1.3270485849547	0.184492611514087	NA
LOC402096	0	NA	NA	NA	NA	NA
LOC107985931	0	NA	NA	NA	NA	NA
LOC107985773	0	NA	NA	NA	NA	NA
LOC105373985	0	NA	NA	NA	NA	NA
LOC105375809	0	NA	NA	NA	NA	NA
LOC107985939	2.63074521199604	-0.664674684502583	1.76556035046522	-0.376466703235289	0.706569964830086	NA
LOC105373989	21.2280749105091	-0.0578650261398485	0.7502083652684	-0.0771319393634678	0.938518584739346	NA
LOC107985803	1.36749385783298	0.170084507361209	2.05750972574792	0.0826652264301604	0.934117735491279	NA
LOC107985778	0	NA	NA	NA	NA	NA
C2orf27A	4.82965870842441	0.881368583999265	1.51068609919573	0.583422714002926	0.559608770782239	NA
C2orf27B	0	NA	NA	NA	NA	NA
