Fib2424hr5R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib2724hr10R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib3424hr15R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib4124hr20R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib24bsl1R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib27bsl6R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib34bsl11R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib41bsl16R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam
LOC102725121	0	0	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	0	0
LOC107984841	0	0	0	0	0	0	0	0
LOC107985728	0	0	0	1	0	1	0	0
LOC107985729	0	0	0	0	0	0	0	0
LOC105378949	2	2	0	0	0	2	0	0
LOC100506504	0	0	0	0	0	0	0	0
LOC105378592	0	0	0	0	0	0	0	2
LOC107985734	0	0	0	0	0	0	0	0
C1orf195	0	0	0	0	0	0	0	0
ANO7P1	0	0	0	0	0	0	0	0
MST1L	0	0	0	0	0	0	0	0
LOC107985103	0	0	1	0	0	0	1	0
LOC105378950	0	0	0	0	0	0	0	0
TMEM269	0	0	0	0	0	0	0	0
LOC107983962	0	0	0	0	4	0	0	0
LOC101927844	0	0	0	0	0	0	0	0
LOC105378862	0	0	3	0	3	1	0	0
LOC101928436	0	1	0	1	0	0	0	1
LOC107985184	0	0	0	0	0	0	0	0
LINC01750	0	2	2	1	7	3	1	2
C1orf137	0	0	0	0	0	0	0	0
NBPF7	0	0	0	0	0	0	0	0
LOC100996720	0	0	0	0	0	0	0	1
LOC105369199	0	0	0	0	0	2	0	0
LOC100996721	0	0	0	0	0	0	0	0
LOC100996318	0	0	0	0	0	0	0	0
LOC107985199	0	0	0	0	0	0	0	0
LOC107983967	0	0	0	0	0	0	0	0
LOC107985108	0	1	0	0	0	0	0	0
LOC105369140	0	0	0	0	0	0	0	0
LOC388692	0	0	0	0	0	0	0	0
LOC100996713	0	0	0	0	0	0	0	0
LOC107985109	0	0	0	0	0	0	0	0
LOC107985527	0	0	0	0	0	0	0	0
LOC105371215	0	0	0	0	0	0	0	0
LOC107985111	0	0	0	0	0	0	0	0
LOC107985528	0	0	0	0	0	0	0	0
LOC100996741	0	0	0	0	0	0	0	0
LOC105371303	0	0	0	0	0	0	0	0
LOC101060254	0	0	0	1	0	0	0	1
LOC100996517	0	0	0	0	0	0	0	0
LOC100996716	0	0	0	0	0	0	0	0
LOC653513	4	4	8	8	6	1	1	13
LOC107983947	0	0	2	2	0	0	0	0
LOC100131107	0	0	0	0	0	0	0	0
LOC105371448	0	0	0	0	0	0	0	0
LOC101928120	4	0	2	0	2	0	0	0
POP3	0	0	0	0	0	0	0	0
LOC105371598	0	0	0	0	0	0	0	0
LOC107985246	0	0	2	1	1	2	1	1
LOC100505650	0	0	0	0	0	0	0	0
LOC105372883	0	1	0	0	0	0	0	0
MIR205HG	0	0	0	0	0	0	0	0
LOC107985330	0	0	0	0	0	0	0	0
LOC105379282	0	0	0	0	0	0	0	0
LOC105373289	0	0	1	0	0	0	0	0
LOC107985355	0	0	0	0	0	0	0	0
LOC101060022	0	0	0	0	0	0	0	0
LOC100506571	0	0	0	0	0	0	0	0
LOC101927401	0	0	0	0	0	0	0	0
BTNL10	0	0	0	0	0	0	0	0
LOC105373132	3	0	2	0	2	0	0	0
LOC107983951	0	0	0	0	0	0	0	0
C1orf229	2	0	0	0	0	0	0	0
LOC107985115	4	7	7	3	4	4	0	3
OR2W5	0	0	0	0	0	0	0	0
LOC107987363	0	0	0	0	0	0	0	0
LOC107987364	0	0	0	0	0	0	0	0
LOC101927262	0	0	0	0	0	0	0	0
LOC100996637	0	0	0	0	0	0	0	0
LOC105373392	0	0	0	0	0	0	0	0
LOC107985837	0	0	0	0	0	0	0	0
LOC102723730	0	0	0	0	0	0	0	0
LOC105373395	0	0	0	0	0	0	0	0
LOC101926982	0	0	0	0	0	0	0	0
C2orf48	0	0	0	0	0	0	0	0
LOC107985856	0	0	0	0	0	0	0	0
LOC107985792	0	0	0	0	0	0	0	0
LOC105374378	0	0	0	0	0	0	0	1
LOC107985876	0	0	0	0	0	0	0	0
LOC102724965	0	0	0	0	0	0	0	0
LOC107985795	0	0	1	0	0	0	0	0
LOC107984043	0	0	0	0	0	0	0	0
LOC107985770	11	18	14	12	4	5	1	0
LOC107985896	0	0	0	0	0	0	0	0
LOC105374811	2	0	3	0	0	0	0	0
LOC102724642	0	0	0	0	0	0	0	0
LOC730268	0	3	4	0	0	1	0	1
LOC107985911	1	2	9	1	0	6	2	4
LOC101060017	0	0	0	0	0	0	0	0
LOC101930047	0	0	0	0	0	0	0	0
LOC107985799	0	0	0	0	0	0	0	0
LOC107985914	0	0	0	0	0	0	0	0
LOC107984110	0	0	0	1	0	1	1	1
LOC402096	0	0	0	0	0	0	0	0
LOC107985931	0	0	0	0	0	0	0	0
LOC107985773	0	0	0	0	0	0	0	0
LOC105373985	0	0	0	0	0	0	0	0
LOC105375809	0	0	0	0	0	0	0	0
LOC107985939	0	0	0	0	0	0	0	0
LOC105373989	12	4	1	4	67	8	2	41
LOC107985803	0	0	0	0	0	0	0	0
LOC107985778	0	0	0	0	0	0	0	0
C2orf27A	1	0	1	1	0	0	1	0
C2orf27B	0	0	0	0	0	0	0	0
ZNF806	0	2	0	0	0	0	0	0
LOC107985946	0	0	0	1	0	0	0	0
LOC100144595	0	0	0	0	0	0	0	0
LOC107985956	0	0	0	0	0	0	0	0
LOC105373750	0	0	0	0	0	0	0	0
LOC107985805	0	0	0	0	0	0	0	0
LOC105373759	0	0	0	0	2	0	0	0
LOC105373780	0	2	0	0	0	0	0	1
LOC729254	0	0	0	0	0	0	0	0
LOC107985971	2	10	11	5	5	7	1	10
LOC100130451	0	0	0	0	0	0	0	0
LOC105373926	1	0	0	0	3	0	1	0
LOC105373944	4	8	4	0	5	1	0	0
LOC100287387	2	0	1	0	2	3	0	0
LOC401040	0	0	0	0	0	0	0	0
LOC101927509	6	3	2	3	1	3	0	0
LOC107986004	0	0	0	0	0	0	0	0
CHL1-AS2	0	0	0	0	0	0	0	0
LOC107986062	0	0	0	0	0	0	0	0
LOC401052	0	0	0	0	0	0	0	0
FANCD2P2	0	0	0	0	0	0	0	0
LOC105377641	0	0	0	0	0	0	0	0
LOC339862	0	0	0	0	0	0	0	0
LOC105377021	0	0	0	0	0	0	0	0
LOC105377022	0	0	0	0	1	0	0	0
LOC101928592	0	0	0	0	0	0	0	0
PRSS43	0	0	0	0	0	0	0	0
LOC107986084	0	0	0	2	2	0	2	4
LOC107986035	0	0	1	0	0	0	0	1
LOC105377135	0	0	1	0	1	1	0	2
LOC105377650	0	0	0	1	0	0	0	0
LOC101930420	0	0	0	0	0	0	0	0
LOC107986037	0	0	0	0	0	0	0	0
LOC105374013	0	0	1	0	0	0	0	0
LOC107986113	0	0	0	0	0	0	0	0
LOC105374312	0	0	0	0	0	1	0	0
LOC105374089	0	0	0	0	0	0	0	0
LOC105374103	0	0	0	0	0	0	0	0
TMEM183B	0	1	2	0	1	0	0	0
FAM188B2	0	0	0	0	0	0	0	0
C3orf79	0	0	0	0	0	0	0	0
LOC105374314	0	0	0	0	0	0	0	0
LINC02054	1	0	0	1	0	0	0	0
LOC102724877	0	0	0	0	0	0	0	0
LOC105374299	0	0	0	0	0	0	0	0
LOC105374301	0	0	0	0	0	0	0	0
LOC107986175	0	0	1	0	0	0	0	0
FAM157A	0	0	1	0	0	0	1	0
