Pao24RIBO24hpA5R1001trimmedL29NoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Pao27RIBO24hpA10R1001trimmedL29NoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Pao34RIBO24hpA15R1001trimmedL29NoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Pao41RIBO24hpA20R1001trimmedL29NoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Pao24RIBOBSLpA1R1001trimmedL29NoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Pao27RIBOBSLpA6R1001trimmedL29NoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Pao34RIBOBSLpA11R1001trimmedL29NoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Pao41RIBOBSLpA16R1001trimmedL29NoAbundant.fastq.gzAligned.sortedByCoord.out.bam
LOC102725121	0	0	0	0	0	0	0	0
LOC105378947	0	1	0	0	0	0	0	0
LOC107984841	0	1	0	3	0	1	1	0
LOC107985728	5	2	2	0	0	0	0	0
LOC107985729	0	0	1	0	0	0	0	0
LOC105378949	6	7	4	4	7	14	7	13
LOC100506504	31	22	32	10	11	25	25	14
LOC105378592	2	2	1	3	3	1	2	4
LOC107985734	9	10	7	5	7	14	5	3
C1orf195	0	0	0	0	0	1	0	0
ANO7P1	1	0	0	0	0	0	0	0
MST1L	1	0	1	0	1	0	4	0
LOC107985103	3	1	1	1	0	0	1	0
LOC105378950	0	0	0	0	0	0	0	0
TMEM269	0	2	1	0	2	0	3	4
LOC107983962	3	0	0	1	0	0	2	1
LOC101927844	0	0	0	0	0	0	0	0
LOC105378862	9	13	9	8	10	8	13	9
LOC101928436	3	3	2	1	7	4	2	3
LOC107985184	3	1	1	1	2	3	2	0
LINC01750	7	30	17	2	21	34	28	14
C1orf137	0	0	0	0	0	0	0	0
NBPF7	1	2	4	1	0	1	1	3
LOC100996720	0	0	0	1	0	0	0	4
LOC105369199	1	1	2	1	1	1	0	3
LOC100996721	0	0	0	0	0	0	0	0
LOC100996318	1	0	0	0	0	0	0	1
LOC107985199	0	0	0	0	0	0	0	0
LOC107983967	0	0	0	0	0	0	0	0
LOC107985108	0	0	0	0	0	0	0	0
LOC105369140	1	0	0	1	0	0	0	0
LOC388692	0	0	3	0	0	0	3	0
LOC100996713	0	0	0	0	0	0	0	1
LOC107985109	0	0	0	0	0	0	0	0
LOC107985527	0	0	0	0	0	0	0	0
LOC105371215	0	0	0	0	0	0	0	0
LOC107985111	0	0	0	0	0	0	0	0
LOC107985528	0	0	0	0	0	0	0	0
LOC100996741	0	0	0	0	0	0	0	0
LOC105371303	0	1	3	4	1	2	2	0
LOC101060254	0	1	1	2	0	2	1	2
LOC100996517	0	0	0	0	0	0	0	0
LOC100996716	0	0	0	0	0	0	0	0
LOC653513	23	18	20	33	30	8	34	66
LOC107983947	4	28	39	26	19	56	130	39
LOC100131107	0	0	0	0	0	0	0	0
LOC105371448	0	0	0	0	0	0	0	0
LOC101928120	4	10	2	5	5	3	7	4
POP3	0	0	0	0	0	0	0	1
LOC105371598	0	0	0	0	0	0	0	0
LOC107985246	3	5	1	2	3	2	9	3
